Country,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018
North Korea,13000.0,13000.0,13000.0,13000.0,14000.0,15000.0,15000.0,15000.0,15000.0,15000.0,12000.0,12000.0,12000.0,10000.0,10000.0,10000.0,10000.0,12000.0,12000.0,12000.0,12000.0,14000.0,12000.0,12000.0,12000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,2400.0,3700.0,4600.0,7000.0,17000.0,15000.0,7700.0,8600.0,12600.0,1800.0,0.0
Malaysia,0.0,0.0,0.0,0.0,0.0,3800.0,18200.0,24000.0,26000.0,24514.0,26990.0,28642.0,30906.0,29136.0,29288.0,30506.0,28301.0,29861.0,22014.0,23565.0,24327.0,25581.0,28556.0,25182.0,25267.0,20751.0,20219.0,18821.0,13907.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,1950.0,4740.0,15051.0,21277.0,20079.0,6582.0,10000.0,7640.0,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5031.0,28755.0,33073.0,36608.0,36969.0,35281.0,37670.0,37970.0,33079.0,45001.0,32820.0,28791.0,28138.0
Mexico,61012.0,63150.0,78720.0,80501.0,82670.0,78196.0,88970.0,89662.0,87186.0,107109.0,175399.0,230466.0,239091.0,206062.0,189111.0,167977.0,174558.0,230573.0,268359.0,249328.0,298695.0,284174.0,279042.0,303989.0,305487.0,333565.0,340710.0,390536.0,384641.0,381184.0,364566.0,371123.0,329574.0,355653.0,405539.0,429042.0,334129.0,337527.0,246593.0,240648.0,270136.0,443621.0,500275.0,480124.0,515025.0,594451.0,766129.0,742246.0,696580.0
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,21700.0,44000.0,71800.0,95000.0,95000.0,100000.0,100000.0,120338.0,120940.0,121594.0,123410.0,123893.0,90100.0,105100.0,117010.0,120160.0,121900.0,121000.0,130000.0,127784.0,128210.0,125868.0,133500.0,131700.0,130300.0,132250.0,128960.0,132075.0,132565.0,129600.0,132300.0,127600.0,124000.0,123900.0,189000.0,253000.0,318000.0,516000.0,475000.0,458780.0
Morocco,3172.0,2595.0,3831.0,4149.0,4670.0,4600.0,4400.0,3370.0,4300.0,8233.0,7088.0,6767.0,20723.0,22936.0,21380.0,19678.0,18599.0,13944.0,13228.0,14647.0,13901.0,15800.0,14317.0,14300.0,13400.0,13600.0,15100.0,15400.0,10700.0,7123.0,6528.0,5357.0,4994.0,4818.0,2900.0,3200.0,4600.0,5592.0,5929.0,11830.0,14986.0,12076.0,14750.0,11575.0,16579.0,19903.0,23586.0,24603.0,23859.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,3000.0,300.0,200.0,145.0,194.0,224.0,250.0,261.0,124.0,273.0,151.0,139.0,88.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,23000.0,25900.0,21500.0,28300.0,33200.0,34900.0,43500.0,49200.0,37700.0,41900.0,39200.0,44300.0,48800.0,52100.0,50000.0,43128.0,47111.0,37993.0,42899.0,32792.0,27797.0,31719.0,31313.0,29146.0,26555.0,22530.0,14904.0,17879.0,6500.0,0.0,5070.0,15003.0,18040.0,16175.0,11174.0,10157.0,6262.0,5800.0,8800.0,0.0,0.0,3366.0,5304.0,4896.0,5249.0,14010.0,16653.0,15534.0,15177.0
New Zealand,47.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,3029.0,3662.0,2188.0,1545.0,1775.0,600.0,800.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,19947.0,21672.0,26007.0,29947.0,24120.0,26647.0,31080.0,29053.0,29073.0,28659.0,28891.0,28123.0,27590.0,22568.0,25042.0,19252.0,29572.0,23235.0,18655.0,20132.0,23041.0,19901.0,12734.0,8743.0,7408.0,6799.0,7394.0,6671.0,2699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11300.0,16200.0,17600.0,16700.0,16900.0,18100.0,16600.0,13700.0,13500.0,13400.0,8800.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7395.0,14826.0,15563.0,16530.0,21166.0,19684.0,10906.0,13699.0,7828.0,0.0,0.0,0.0
